HYPSO_NAME,AERONETOC_NAME,LATITUDE,LONGITUDE,ELEVATION
aeronetgalata,Galata_Platform,43.04462,28.19319,31
aeronetgloria,Section-7_Platform,44.54580,29.44660,30
aeronetvenice,AAOT,45.31390,12.50830,10
annapolis,Chesapeake_Bay,39.12351,-76.34890,30
gustav,Gustav_Dalen_Tower,58.59417,17.46683,25
chesapeake,CBBT,37.03667,-76.07660,20
kemigawa,Kemigawa_Offshore,35.61083,140.02333,8.2
lucinda,Lucinda,-18.51980,146.38610,8
moby,MOBY,20.8266,-157.2015,1.2
mvco,MVCO,41.32500,-70.56670,10
ngomeni,San_Marco_Platform,-2.94167,40.21472,20
palgrunden,Palgrunden,58.75533,13.15150,49
socheongcho,Socheongcho,37.42313,124.73804,28
section7platform,Section-7_Platform,44.54580,29.44660,30
section7platform,Gloria,44.59997,29.35967,30
gloria,Section-7_Platform,44.54580,29.44660,30
gloria,Gloria,44.59997,29.35967,30
plocan,PLOCAN_Tower,28.04112,-15.38511,12
zeebrugge,Thornton_C-power,51.53250,2.95528,30
laplata,RdP-EsNM,-34.81800,-57.89590,9
blanca,Bahia_Blanca,-39.14833,-61.72167,15
cocobeach,Banana_River,28.36699,-80.63328,15
wilmington,Frying_Pan_Tower,33.48530,-77.59010,41
longisland,LISCO,40.95452,-73.34177,12
grizzlybay,Grizzly_Bay,38.10817,-122.05621,4
ariake,ARIAKE_TOWER,33.10362,130.27195,15
ariake,ARIAKE_TOWER_2,33.11400,130.29000,5

